"Time (s) Run #1","Force (N) Run #1","Acceleration - x (m/s²) Run #1","Acceleration - y (m/s²) Run #1","Acceleration - z (m/s²) Run #1","Acceleration - resultant (m/s²) Run #1","Angular Velocity - x (rad/s) Run #1","Angular Velocity - y (rad/s) Run #1","Angular Velocity - z (rad/s) Run #1"
0.000,0.05,9.9,-0.2,0.0,9.9,0.0,0.0,0.0
0.050,0.05,9.9,0.1,0.0,9.9,0.0,0.0,0.0
0.100,0.03,9.7,-0.2,0.1,9.7,0.0,0.0,0.0
0.150,0.04,9.8,-0.3,-0.1,9.9,0.0,0.0,0.0
0.200,0.04,9.9,0.3,0.0,9.9,0.0,0.0,0.0
0.250,0.05,9.8,-0.3,0.1,9.9,0.0,0.0,0.0
0.300,0.05,9.8,0.0,-0.1,9.8,0.0,0.0,0.0
0.350,0.04,9.9,0.0,-0.1,9.9,0.0,0.0,0.0
0.400,0.02,9.8,-0.3,0.1,9.8,0.0,0.0,0.0
0.450,0.05,9.8,0.1,0.0,9.8,0.0,0.0,0.0
0.500,0.05,9.8,0.0,-0.1,9.8,0.0,0.0,6.1E-4
0.550,0.05,9.8,-0.2,0.1,9.8,0.0,0.0,0.0
0.600,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
0.650,0.04,9.9,0.1,0.0,9.9,-1.2E-4,0.0,-6.1E-4
0.700,0.04,9.8,-0.2,0.0,9.8,0.0,0.0,-6.1E-4
0.750,0.03,9.8,-0.1,0.1,9.8,0.0,0.0,-6.1E-4
0.800,0.04,9.8,0.0,-0.1,9.8,0.0,0.0,-6.1E-4
0.850,0.02,9.9,0.0,0.2,9.9,0.0,0.0,6.1E-4
0.900,0.02,9.8,-0.2,0.0,9.8,0.0,0.0,0.0
0.950,0.02,9.8,0.1,-0.1,9.8,0.0,0.0,0.0
1.000,0.04,9.8,-0.2,0.0,9.8,0.0,0.0,0.0
1.050,0.03,9.9,0.0,0.1,9.9,0.0,0.0,0.0
1.100,0.04,9.8,0.0,-0.1,9.8,0.0,0.0,-6.1E-4
1.150,0.03,9.8,-0.2,0.0,9.8,0.0,0.0,6.1E-4
1.200,0.03,9.8,-0.2,0.0,9.8,0.0,0.0,0.0
1.250,0.04,9.9,0.1,0.0,9.9,0.0,0.0,6.1E-4
1.300,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
1.350,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
1.400,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
1.450,0.05,9.8,0.0,0.0,9.8,0.0,0.0,6.1E-4
1.500,0.05,9.9,-0.1,0.1,9.9,0.0,0.0,0.0
1.550,0.04,9.8,0.0,0.0,9.8,0.0,0.0,0.0
1.600,0.06,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
1.650,0.06,9.8,-0.1,-0.1,9.8,0.0,0.0,6.1E-4
1.700,0.06,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
1.750,0.05,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
1.800,0.05,9.9,0.0,0.1,9.9,0.0,0.0,-6.1E-4
1.850,0.06,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
1.900,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
1.950,0.06,9.9,0.0,0.1,9.9,0.0,0.0,-6.1E-4
2.000,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
2.050,0.06,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
2.100,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
2.150,0.06,9.9,0.0,0.1,9.9,0.0,0.0,6.1E-4
2.200,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
2.250,0.05,9.9,-0.1,0.0,9.9,0.0,0.0,0.0
2.300,0.05,9.8,-0.2,0.0,9.8,0.0,0.0,0.0
2.350,0.05,9.9,0.0,0.0,9.9,0.0,0.0,0.0
2.400,0.05,9.8,-0.2,0.0,9.8,0.0,0.0,0.0
2.450,0.04,9.9,1.9E-4,0.1,9.9,0.0,0.0,0.0
2.500,0.04,9.8,-0.1,-0.1,9.8,0.0,0.0,0.0
2.550,0.04,9.8,0.0,0.0,9.8,0.0,0.0,6.1E-4
2.600,0.04,9.8,-0.2,0.0,9.8,-1.2E-4,0.0,0.0
2.650,0.04,9.8,0.1,0.0,9.8,0.0,0.0,0.0
2.700,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
2.750,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
2.800,0.04,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
2.850,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
2.900,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
2.950,0.04,9.8,0.0,0.0,9.8,0.0,0.0,6.1E-4
3.000,0.04,9.8,-0.2,0.0,9.8,0.0,0.0,0.0
3.050,0.04,9.8,0.1,0.0,9.8,0.0,0.0,0.0
3.100,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
3.150,0.04,9.8,-0.1,-0.1,9.8,0.0,0.0,0.0
3.200,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
3.250,0.04,9.8,0.0,0.0,9.8,0.0,0.0,0.0
3.300,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
3.350,0.04,9.8,0.0,0.0,9.8,0.0,0.0,0.0
3.400,0.04,9.8,-0.2,0.1,9.8,0.0,0.0,0.0
3.450,0.05,9.8,0.0,0.0,9.8,0.0,0.0,0.0
3.500,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
3.550,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
3.600,0.04,9.9,0.0,0.0,9.9,0.0,0.0,0.0
3.650,0.04,9.8,0.0,0.0,9.8,0.0,0.0,6.1E-4
3.700,0.04,9.8,-0.2,0.0,9.8,0.0,0.0,-6.1E-4
3.750,0.05,9.8,0.0,0.0,9.8,0.0,0.0,6.1E-4
3.800,0.05,9.8,0.0,0.0,9.8,0.0,0.0,0.0
3.850,0.05,9.8,0.0,0.0,9.8,0.0,0.0,6.1E-4
3.900,0.05,9.9,-0.1,0.0,9.9,0.0,0.0,0.0
3.950,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
4.000,0.06,9.8,0.0,0.0,9.8,0.0,0.0,6.1E-4
4.050,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
4.100,0.05,9.9,-0.1,0.1,9.9,0.0,0.0,-6.1E-4
4.150,0.05,9.8,0.0,0.0,9.8,0.0,0.0,0.0
4.200,0.04,9.9,0.0,0.0,9.9,0.0,0.0,0.0
4.250,0.03,9.8,-0.2,0.0,9.8,0.0,0.0,0.0
4.300,0.04,9.8,0.0,0.0,9.8,0.0,0.0,6.1E-4
4.350,0.03,9.9,0.0,0.0,9.9,0.0,0.0,-6.1E-4
4.400,0.04,9.8,-0.1,0.1,9.8,0.0,0.0,0.0
4.450,0.04,9.8,-0.1,-0.1,9.8,0.0,0.0,0.0
4.500,0.05,9.9,1.9E-4,0.0,9.9,0.0,0.0,6.1E-4
4.550,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
4.600,0.04,9.8,0.0,0.0,9.8,0.0,0.0,0.0
4.650,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
4.700,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
4.750,0.04,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
4.800,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
4.850,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
4.900,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
4.950,0.02,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
5.000,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
5.050,0.03,9.9,0.0,0.0,9.9,0.0,0.0,6.1E-4
5.100,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
5.150,0.05,9.8,0.0,0.0,9.8,0.0,0.0,6.1E-4
5.200,0.04,9.9,-0.2,0.0,9.9,0.0,0.0,0.0
5.250,0.03,9.9,0.0,0.0,9.9,0.0,0.0,6.1E-4
5.300,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
5.350,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
5.400,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
5.450,0.04,9.8,0.0,0.1,9.8,0.0,0.0,6.1E-4
5.500,0.04,9.8,-0.2,0.0,9.8,0.0,0.0,-6.1E-4
5.550,0.04,9.8,0.0,0.0,9.8,0.0,0.0,0.0
