"Time (s) Run #1","X Magnetic Field Strength (G) Run #1","Y Magnetic Field Strength (G) Run #1","Z Magnetic Field Strength (G) Run #1","|Resultant| Magnetic Field Strength (G) Run #1"
0.000,-0.0315,0.00750,-0.00450,0.0327
0.100,-0.0255,0.00900,-0.0105,0.0290
0.200,-0.0300,0.00300,-0.00600,0.0307
0.300,-0.0270,0.00900,-0.00600,0.0291
0.400,-0.0300,0.00750,-0.00750,0.0318
0.500,-0.0330,0.00450,-0.00300,0.0334
0.600,-0.0315,0.00450,-0.00600,0.0324
0.700,-0.0345,0.00450,-0.0150,0.0379
0.800,-0.0330,0.00900,-0.00900,0.0354
0.900,-0.0315,0.00300,-0.00600,0.0322
1.000,-0.0270,0.00,-0.0135,0.0302
1.100,-0.0315,0.00,-0.00900,0.0328
1.200,-0.0315,0.00450,-0.0165,0.0358
1.300,-0.0300,0.00750,-0.00900,0.0322
1.400,-0.0300,0.00750,-0.00750,0.0318
1.500,-0.0270,0.0120,-0.00750,0.0305
1.600,-0.0270,0.00450,-0.00450,0.0277
1.700,-0.0255,0.00150,-0.00450,0.0259
1.800,-0.0240,0.00600,0.00,0.0247
1.900,-0.0180,0.00900,-0.00450,0.0206
2.000,-0.0225,0.0105,-0.00300,0.0250
2.100,-0.0225,0.00450,-0.0105,0.0252
2.200,-0.0225,0.0105,-0.00600,0.0255
2.300,-0.0255,0.0105,-0.00750,0.0286
2.400,-0.0225,0.00450,-0.00300,0.0231
2.500,-0.0270,0.00450,0.00,0.0274
2.600,-0.0240,0.00900,-0.00300,0.0258
2.700,-0.0225,0.00150,-0.00300,0.0227
2.800,-0.0210,0.00750,-0.00600,0.0231
2.900,-0.0225,0.00150,-0.00450,0.0230
3.000,-0.0240,0.00750,-0.00450,0.0255
3.100,-0.0195,0.00150,-0.00600,0.0205
3.200,-0.0285,0.00300,-0.00300,0.0288
3.300,-0.0255,0.00300,-0.00450,0.0261
3.400,0.00150,0.00300,0.00150,0.00367
3.500,-0.00300,-0.00150,-0.00150,0.00367
3.600,0.00,0.00150,-0.00150,0.00212
3.700,-0.00750,0.00150,-0.00300,0.00822
3.800,-0.00300,0.00,-0.00300,0.00424
3.900,-0.00150,0.00300,-0.00750,0.00822
4.000,0.00150,0.00,-0.00150,0.00212
4.100,-0.00300,0.00450,-0.00600,0.00808
4.200,-0.00150,0.00300,-0.00750,0.00822
