"Time Between Gates, Ch 1+2 (s) Run #2","Speed Between Gates, Ch 1+2 (m/s) Run #2","Time Between Gates, Ch 3+4 (s) Run #2","Speed Between Gates, Ch 3+4 (m/s) Run #2","Time Between Gates, Ch 1+2 (s) Run #3","Speed Between Gates, Ch 1+2 (m/s) Run #3","Time Between Gates, Ch 3+4 (s) Run #3","Speed Between Gates, Ch 3+4 (m/s) Run #3","Time Between Gates, Ch 1+2 (s) Run #4","Speed Between Gates, Ch 1+2 (m/s) Run #4","Time Between Gates, Ch 3+4 (s) Run #4","Speed Between Gates, Ch 3+4 (m/s) Run #4","Time Between Gates, Ch 1+2 (s) Run #5","Speed Between Gates, Ch 1+2 (m/s) Run #5","Time Between Gates, Ch 3+4 (s) Run #5","Speed Between Gates, Ch 3+4 (m/s) Run #5","Time Between Gates, Ch 1+2 (s) Run #6","Speed Between Gates, Ch 1+2 (m/s) Run #6","Time Between Gates, Ch 3+4 (s) Run #6","Speed Between Gates, Ch 3+4 (m/s) Run #6","Time Between Gates, Ch 1+2 (s) Run #7","Speed Between Gates, Ch 1+2 (m/s) Run #7","Time Between Gates, Ch 3+4 (s) Run #7","Speed Between Gates, Ch 3+4 (m/s) Run #7","Time Between Gates, Ch 1+2 (s) Run #8","Speed Between Gates, Ch 1+2 (m/s) Run #8","Time Between Gates, Ch 3+4 (s) Run #8","Speed Between Gates, Ch 3+4 (m/s) Run #8"
0.13,0.54,,,0.13,0.56,,,0.13,0.56,,,0.13,0.55,,,0.14,0.52,,,0.13,0.53,,,0.13,0.55,,
,,0.15,0.49,,,0.15,0.48,,,0.15,0.48,,,0.16,0.44,,,0.21,0.33,,,0.18,0.39,,,0.17,0.41
0.13,0.56,,,0.12,0.59,,,0.12,0.59,,,0.13,0.54,,,0.12,0.57,,,0.13,0.56,,,0.13,0.56,,
,,0.14,0.50,,,0.14,0.51,,,0.14,0.51,,,0.17,0.42,,,0.16,0.45,,,0.17,0.42,,,0.22,0.32
0.13,0.56,,,0.12,0.58,,,0.12,0.57,,,0.13,0.57,,,0.13,0.55,,,0.13,0.54,,,0.13,0.54,,
,,0.14,0.50,,,0.14,0.50,,,0.15,0.46,,,0.16,0.45,,,0.17,0.42,,,0.17,0.40,,,0.18,0.39
0.14,0.49,,,0.14,0.51,,,0.13,0.53,,,0.13,0.55,,,0.13,0.55,,,0.13,0.54,,,0.13,0.54,,
,,0.18,0.39,,,0.17,0.41,,,0.18,0.40,,,0.17,0.42,,,0.17,0.42,,,0.24,0.29,,,0.18,0.40
0.13,0.54,,,0.12,0.57,,,0.13,0.55,,,0.12,0.58,,,0.13,0.56,,,0.12,0.57,,,0.13,0.54,,
,,0.15,0.48,,,0.14,0.50,,,0.15,0.47,,,0.15,0.47,,,0.16,0.45,,,0.17,0.41,,,0.19,0.37
0.14,0.51,,,0.13,0.55,,,0.13,0.54,,,0.13,0.56,,,0.13,0.56,,,0.13,0.55,,,0.13,0.54,,
,,0.17,0.43,,,0.17,0.42,,,0.15,0.46,,,0.17,0.42,,,0.17,0.42,,,0.18,0.39,,,0.19,0.37
0.13,0.54,,,0.13,0.55,,,0.12,0.57,,,0.13,0.54,,,0.13,0.54,,,0.14,0.51,,,0.13,0.55,,
,,0.14,0.49,,,0.15,0.48,,,0.14,0.49,,,0.20,0.35,,,0.17,0.42,,,0.25,0.29,,,0.21,0.34
0.13,0.56,,,0.14,0.52,,,0.12,0.57,,,0.13,0.57,,,0.13,0.54,,,0.13,0.54,,,0.13,0.56,,
,,0.14,0.49,,,0.16,0.44,,,0.15,0.47,,,0.16,0.43,,,0.17,0.42,,,0.18,0.40,,,0.17,0.41
0.12,0.57,,,0.12,0.59,,,0.13,0.55,,,0.14,0.52,,,0.12,0.57,,,0.13,0.56,,,0.12,0.57,,
,,0.14,0.51,,,0.14,0.51,,,0.15,0.47,,,0.17,0.40,,,0.16,0.44,,,0.17,0.42,,,0.17,0.41
0.12,0.58,,,0.13,0.53,,,0.12,0.58,,,0.12,0.57,,,0.13,0.54,,,0.13,0.54,,,0.13,0.56,,
,,0.14,0.51,,,0.17,0.41,,,0.14,0.50,,,0.15,0.46,,,0.17,0.41,,,0.22,0.33,,,0.17,0.41
