source,stations,distance,magnets,group,gate,n_speed,mean_speed,std_speed,sem_speed,n_time,mean_time,std_time,sem_time
gaussian_all_stations,2.0,7.05,2.0,Run 1-10,1+2,10,0.55,0.014907119849998584,0.004714045207910312,10,0.13,0.004714045207910321,0.001490711984999861
gaussian_all_stations,2.0,7.05,2.0,Run 1-10,3+4,10,3.372,0.1026103741777063,0.032448249396367895,10,0.02,0.0,0.0
gaussian_all_stations,2.0,6.54,4.0,Run 11-20,1+2,10,0.552,0.018135294011647242,0.005734883511361746,10,0.127,0.004830458915396481,0.001527525231651947
gaussian_all_stations,2.0,6.54,4.0,Run 11-20,3+4,10,3.048,0.051811624607267986,0.016384274303259384,10,0.02,0.0,0.0
gaussian_all_stations,2.0,6.03,6.0,Run 21-30,1+2,10,0.532,0.015491933384829678,0.004898979485566359,10,0.134,0.0051639777949432294,0.001632993161855454
gaussian_all_stations,2.0,6.03,6.0,Run 21-30,3+4,10,2.915,0.043525216190668785,0.013763881881375093,10,0.02,0.0,0.0
gaussian_all_stations,2.0,14.61,2.0,Run 61-70,1+2,10,0.561,0.013703203194062936,0.00433333333333332,10,0.126,0.005163977794943228,0.0016329931618554536
gaussian_all_stations,2.0,14.61,2.0,Run 61-70,3+4,10,2.689,0.08332666639997859,0.026350205565295538,10,0.03,0.0,0.0
gaussian_all_stations,2.0,14.1,4.0,Run 71-80,1+2,10,0.567,0.015670212364724177,0.004955356249106158,10,0.125,0.005270462766947303,0.0016666666666666676
gaussian_all_stations,2.0,14.1,4.0,Run 71-80,3+4,10,3.075,0.08746427842267954,0.02765863337187867,10,0.02,0.0,0.0
gaussian_all_stations,2.0,13.59,6.0,Run 81-90,1+2,10,0.556,0.01646545204697124,0.005206833117271086,10,0.126,0.005163977794943227,0.0016329931618554534
gaussian_all_stations,2.0,13.59,6.0,Run 81-90,3+4,10,2.6260000000000003,0.12545030003064075,0.03967086812483158,10,0.03,0.0,0.0
gaussian_all_stations,2.0,20.8,2.0,Run 91-100,1+2,10,0.5640000000000001,0.012649110640673474,0.003999999999999986,10,0.126,0.0051639777949432294,0.001632993161855454
gaussian_all_stations,2.0,20.8,2.0,Run 91-100,3+4,10,3.281,0.13714955340794963,0.043370496884402907,10,0.02,0.0,0.0
gaussian_all_stations,2.0,20.29,4.0,Run 101-110,1+2,10,0.5429999999999999,0.033015148038438316,0.010440306508910537,10,0.131,0.008755950357709132,0.0027688746209726914
gaussian_all_stations,2.0,20.29,4.0,Run 101-110,3+4,10,3.5780000000000003,0.06196773353931845,0.019595917942265353,10,0.02,0.0,0.0
gaussian_all_stations,2.0,19.78,6.0,Run 111-120,1+2,10,0.546,0.014298407059684817,0.004521553322083514,10,0.129,0.0031622776601683846,0.0010000000000000015
gaussian_all_stations,2.0,19.78,6.0,Run 111-120,3+4,10,2.997,0.029458068127047647,0.009315459074988094,10,0.02,0.0,0.0
gaussian_all_stations,3.0,7.05,2.0,Run 31-40,1+2,10,0.567,0.00823272602348561,0.00260341655863554,10,0.125,0.005270462766947305,0.0016666666666666685
gaussian_all_stations,3.0,7.05,2.0,Run 31-40,3+4,10,3.376,0.15137884778117305,0.04787019485604332,10,0.02,0.0,0.0
