source,stations,distance,magnets,group,gate,n_speed,mean_speed,std_speed,sem_speed,n_time,mean_time,std_time,sem_time
no_magnets,0,,0,All Runs,1+2,7,0.5442857142857144,0.015118578920369096,0.005714285714285717,7,0.13142857142857142,0.003779644730092277,0.0014285714285714303
no_magnets,0,,0,All Runs,3+4,7,0.43142857142857144,0.058716429111612775,0.02219272418615437,7,0.16714285714285712,0.022146697055682823,0.008370664681546161
source,stations,distance_stations,distance_photogates,magnets,group,gate,n_speed,mean_speed,std_speed,sem_speed,n_time,mean_time,std_time,sem_time
no_magnets,0,0.0,15.05,0,All Runs,1+2,1,0.54,,,1,0.13,,
no_magnets,0,0.0,28.15,0,All Runs,1+2,1,0.56,,,1,0.13,,
no_magnets,0,0.0,29.15,0,All Runs,1+2,1,0.56,,,1,0.13,,
no_magnets,0,0.0,42.2,0,All Runs,1+2,1,0.55,,,1,0.13,,
no_magnets,0,0.0,43.25,0,All Runs,1+2,1,0.52,,,1,0.14,,
no_magnets,0,0.0,56.35,0,All Runs,1+2,1,0.53,,,1,0.13,,
no_magnets,0,0.0,57.4,0,All Runs,1+2,1,0.55,,,1,0.13,,
no_magnets,0,0.0,15.05,0,All Runs,3+4,1,0.49,,,1,0.15,,
no_magnets,0,0.0,28.15,0,All Runs,3+4,1,0.48,,,1,0.15,,
no_magnets,0,0.0,29.15,0,All Runs,3+4,1,0.48,,,1,0.15,,
no_magnets,0,0.0,42.2,0,All Runs,3+4,1,0.44,,,1,0.16,,
no_magnets,0,0.0,43.25,0,All Runs,3+4,1,0.33,,,1,0.21,,
no_magnets,0,0.0,56.35,0,All Runs,3+4,1,0.39,,,1,0.18,,
no_magnets,0,0.0,57.4,0,All Runs,3+4,1,0.41,,,1,0.17,,
